NAME                         CPUS  MEMORY_GB  ZONE
a2-highgpu-1g                12    85.00      us-east1-a
a2-highgpu-2g                24    170.00     us-east1-a
a2-highgpu-4g                48    340.00     us-east1-a
a2-highgpu-8g                96    680.00     us-east1-a
a2-megagpu-16g               96    1360.00    us-east1-a
c2-standard-16               16    64.00      us-east1-a
c2-standard-30               30    120.00     us-east1-a
c2-standard-4                4     16.00      us-east1-a
c2-standard-60               60    240.00     us-east1-a
c2-standard-8                8     32.00      us-east1-a
e2-highcpu-16                16    16.00      us-east1-a
e2-highcpu-2                 2     2.00       us-east1-a
e2-highcpu-32                32    32.00      us-east1-a
e2-highcpu-4                 4     4.00       us-east1-a
e2-highcpu-8                 8     8.00       us-east1-a
e2-highmem-16                16    128.00     us-east1-a
e2-highmem-2                 2     16.00      us-east1-a
e2-highmem-4                 4     32.00      us-east1-a
e2-highmem-8                 8     64.00      us-east1-a
e2-medium                    2     4.00       us-east1-a
e2-micro                     2     1.00       us-east1-a
e2-small                     2     2.00       us-east1-a
e2-standard-16               16    64.00      us-east1-a
e2-standard-2                2     8.00       us-east1-a
e2-standard-32               32    128.00     us-east1-a
e2-standard-4                4     16.00      us-east1-a
e2-standard-8                8     32.00      us-east1-a
f1-micro                     1     0.60       us-east1-a
g1-small                     1     1.70       us-east1-a
m1-megamem-96                96    1433.60    us-east1-a
m1-ultramem-160              160   3844.00    us-east1-a
m1-ultramem-40               40    961.00     us-east1-a
m1-ultramem-80               80    1922.00    us-east1-a
m2-hypermem-416              416   8832.00    us-east1-a
m2-megamem-416               416   5888.00    us-east1-a
m2-ultramem-208              208   5888.00    us-east1-a
m2-ultramem-416              416   11776.00   us-east1-a
n1-highcpu-16                16    14.40      us-east1-a
n1-highcpu-2                 2     1.80       us-east1-a
n1-highcpu-32                32    28.80      us-east1-a
n1-highcpu-4                 4     3.60       us-east1-a
n1-highcpu-64                64    57.60      us-east1-a
n1-highcpu-8                 8     7.20       us-east1-a
n1-highcpu-96                96    86.40      us-east1-a
n1-highmem-16                16    104.00     us-east1-a
n1-highmem-2                 2     13.00      us-east1-a
n1-highmem-32                32    208.00     us-east1-a
n1-highmem-4                 4     26.00      us-east1-a
n1-highmem-64                64    416.00     us-east1-a
n1-highmem-8                 8     52.00      us-east1-a
n1-highmem-96                96    624.00     us-east1-a
n1-megamem-96                96    1433.60    us-east1-a
n1-standard-1                1     3.75       us-east1-a
n1-standard-16               16    60.00      us-east1-a
n1-standard-2                2     7.50       us-east1-a
n1-standard-32               32    120.00     us-east1-a
n1-standard-4                4     15.00      us-east1-a
n1-standard-64               64    240.00     us-east1-a
n1-standard-8                8     30.00      us-east1-a
n1-standard-96               96    360.00     us-east1-a
n1-ultramem-160              160   3844.00    us-east1-a
n1-ultramem-40               40    961.00     us-east1-a
n1-ultramem-80               80    1922.00    us-east1-a
n2-highcpu-16                16    16.00      us-east1-a
n2-highcpu-2                 2     2.00       us-east1-a
n2-highcpu-32                32    32.00      us-east1-a
n2-highcpu-4                 4     4.00       us-east1-a
n2-highcpu-48                48    48.00      us-east1-a
n2-highcpu-64                64    64.00      us-east1-a
n2-highcpu-8                 8     8.00       us-east1-a
n2-highcpu-80                80    80.00      us-east1-a
n2-highcpu-96                96    96.00      us-east1-a
n2-highmem-128               128   864.00     us-east1-a
n2-highmem-16                16    128.00     us-east1-a
n2-highmem-2                 2     16.00      us-east1-a
n2-highmem-32                32    256.00     us-east1-a
n2-highmem-4                 4     32.00      us-east1-a
n2-highmem-48                48    384.00     us-east1-a
n2-highmem-64                64    512.00     us-east1-a
n2-highmem-8                 8     64.00      us-east1-a
n2-highmem-80                80    640.00     us-east1-a
n2-highmem-96                96    768.00     us-east1-a
n2-standard-128              128   512.00     us-east1-a
n2-standard-16               16    64.00      us-east1-a
n2-standard-2                2     8.00       us-east1-a
n2-standard-32               32    128.00     us-east1-a
n2-standard-4                4     16.00      us-east1-a
n2-standard-48               48    192.00     us-east1-a
n2-standard-64               64    256.00     us-east1-a
n2-standard-8                8     32.00      us-east1-a
n2-standard-80               80    320.00     us-east1-a
n2-standard-96               96    384.00     us-east1-a
n2d-highcpu-128              128   128.00     us-east1-a
n2d-highcpu-16               16    16.00      us-east1-a
n2d-highcpu-2                2     2.00       us-east1-a
n2d-highcpu-224              224   224.00     us-east1-a
n2d-highcpu-32               32    32.00      us-east1-a
n2d-highcpu-4                4     4.00       us-east1-a
n2d-highcpu-48               48    48.00      us-east1-a
n2d-highcpu-64               64    64.00      us-east1-a
n2d-highcpu-8                8     8.00       us-east1-a
n2d-highcpu-80               80    80.00      us-east1-a
n2d-highcpu-96               96    96.00      us-east1-a
n2d-highmem-16               16    128.00     us-east1-a
n2d-highmem-2                2     16.00      us-east1-a
n2d-highmem-32               32    256.00     us-east1-a
n2d-highmem-4                4     32.00      us-east1-a
n2d-highmem-48               48    384.00     us-east1-a
n2d-highmem-64               64    512.00     us-east1-a
n2d-highmem-8                8     64.00      us-east1-a
n2d-highmem-80               80    640.00     us-east1-a
